column,token,raw_count,merged_count,parquet_string_count,parquet_null_count,missing_column_rows,expected_merged_empty,lost_to_parquet,flag_token_loss
apc_paid.value_usd,N/A,0,0,0,580179,0,,0,False
apc_paid.value_usd,NULL,0,0,0,580179,0,,0,False
apc_paid.value_usd,NaN,0,0,0,580179,0,,0,False
apc_paid.value_usd,\N,0,0,0,580179,0,,0,False
apc_paid.value_usd,None,0,0,0,580179,0,,0,False
apc_paid.value_usd,null,0,0,0,580179,0,,0,False
apc_paid.value_usd,nan,0,0,0,580179,0,,0,False
apc_paid.value_usd,Na,0,0,0,580179,0,,0,False
authorships.affiliations,,243349,243349,0,243349,0,243349.0,243349,True
authorships.affiliations,NA,0,0,0,243349,0,,0,False
authorships.affiliations,N.A.,0,0,0,243349,0,,0,False
authorships.affiliations,N/A,0,0,0,243349,0,,0,False
authorships.affiliations,NULL,0,0,0,243349,0,,0,False
authorships.affiliations,NaN,0,0,0,243349,0,,0,False
authorships.affiliations,\N,0,0,0,243349,0,,0,False
authorships.affiliations,None,0,0,0,243349,0,,0,False
authorships.affiliations,null,0,0,0,243349,0,,0,False
authorships.affiliations,nan,2,2,2,243349,0,,0,False
authorships.affiliations,Na,0,0,0,243349,0,,0,False
authorships.author.display_name,,24558,24558,0,24558,0,24558.0,24558,True
authorships.author.display_name,NA,0,0,0,24558,0,,0,False
authorships.author.display_name,N.A.,0,0,0,24558,0,,0,False
authorships.author.display_name,N/A,0,0,0,24558,0,,0,False
authorships.author.display_name,NULL,0,0,0,24558,0,,0,False
authorships.author.display_name,NaN,0,0,0,24558,0,,0,False
authorships.author.display_name,\N,0,0,0,24558,0,,0,False
authorships.author.display_name,None,0,0,0,24558,0,,0,False
authorships.author.display_name,null,0,0,0,24558,0,,0,False
authorships.author.display_name,nan,0,0,0,24558,0,,0,False
authorships.author.display_name,Na,1,1,1,24558,0,,0,False
authorships.author.id,,24558,24558,0,24558,0,24558.0,24558,True
authorships.author.id,NA,0,0,0,24558,0,,0,False
authorships.author.id,N.A.,0,0,0,24558,0,,0,False
authorships.author.id,N/A,0,0,0,24558,0,,0,False
authorships.author.id,NULL,0,0,0,24558,0,,0,False
authorships.author.id,NaN,0,0,0,24558,0,,0,False
authorships.author.id,\N,0,0,0,24558,0,,0,False
authorships.author.id,None,0,0,0,24558,0,,0,False
authorships.author.id,null,0,0,0,24558,0,,0,False
authorships.author.id,nan,0,0,0,24558,0,,0,False
authorships.author.id,Na,0,0,0,24558,0,,0,False
authorships.author.orcid,,24558,24558,0,24558,0,24558.0,24558,True
authorships.author.orcid,NA,0,0,0,24558,0,,0,False
authorships.author.orcid,N.A.,0,0,0,24558,0,,0,False
authorships.author.orcid,N/A,0,0,0,24558,0,,0,False
authorships.author.orcid,NULL,0,0,0,24558,0,,0,False
authorships.author.orcid,NaN,0,0,0,24558,0,,0,False
authorships.author.orcid,\N,0,0,0,24558,0,,0,False
authorships.author.orcid,None,207965,207965,207965,24558,0,,0,False
authorships.author.orcid,null,0,0,0,24558,0,,0,False
authorships.author.orcid,nan,0,0,0,24558,0,,0,False
authorships.author.orcid,Na,0,0,0,24558,0,,0,False
authorships.author_position,,24545,24545,0,24545,0,24545.0,24545,True
authorships.author_position,NA,0,0,0,24545,0,,0,False
authorships.author_position,N.A.,0,0,0,24545,0,,0,False
authorships.author_position,N/A,0,0,0,24545,0,,0,False
authorships.author_position,NULL,0,0,0,24545,0,,0,False
authorships.author_position,NaN,0,0,0,24545,0,,0,False
authorships.author_position,\N,0,0,0,24545,0,,0,False
authorships.author_position,None,0,0,0,24545,0,,0,False
authorships.author_position,null,0,0,0,24545,0,,0,False
authorships.author_position,nan,0,0,0,24545,0,,0,False
