column,parquet_null_count,merged_empty_count,parquet_empty_as_string_count,empty_lost_to_null_min,missing_column_rows,expected_merged_empty,merged_empty_diff_vs_expected,sum_lost_suspicious_tokens,flag_null_inflation,flag_merged_empty_mismatch,flagged,top_lost_token,top_lost_token_count
primary_location.source.host_organization_lineage_names,321671,321671,0,321671,0,321671,0,321671,False,False,True,,321671
primary_location.source.host_organization_lineage,321670,321670,0,321670,0,321670,0,321670,False,False,True,,321670
keywords.display_name,307657,307657,0,307657,0,307657,0,307657,False,False,True,,307657
keywords.score,307657,307657,0,307657,0,307657,0,307657,False,False,True,,307657
keywords.id,307656,307656,0,307656,0,307656,0,307656,False,False,True,,307656
sustainable_development_goals.display_name,306455,306455,0,306455,0,306455,0,306455,False,False,True,,306455
sustainable_development_goals.score,306455,306455,0,306455,0,306455,0,306455,False,False,True,,306455
sustainable_development_goals.id,306454,306454,0,306454,0,306454,0,306454,False,False,True,,306454
biblio.last_page,263248,263248,0,263248,0,263248,0,263248,False,False,True,,263248
authorships.institutions,261113,261113,0,261113,0,261113,0,261113,False,False,True,,261113
indexed_in,256595,256595,0,256595,0,256595,0,256595,False,False,True,,256595
authorships.countries,256276,256276,0,256276,0,256276,0,256276,False,False,True,,256276
ids.doi,249582,249582,0,249582,0,249582,0,249582,False,False,True,,249582
doi,249578,249578,0,249578,0,249578,0,249578,False,False,True,,249578
biblio.first_page,248736,248736,0,248736,0,248736,0,248736,False,False,True,,248736
authorships.affiliations,243349,243349,0,243349,0,243349,0,243349,False,False,True,,243349
authorships.raw_affiliation_strings,243337,243337,0,243337,0,243337,0,243337,False,False,True,,243337
corresponding_author_ids,224055,224055,0,224055,0,224055,0,224055,False,False,True,,224055
primary_location.source.is_indexed_in_scopus,183111,183111,0,183111,0,183111,0,183111,False,False,True,,183111
primary_location.source.type,183095,183095,0,183095,0,183095,0,183095,False,False,True,,183095
primary_location.source.is_core,183094,183094,0,183094,0,183094,0,183094,False,False,True,,183094
primary_location.source.display_name,183091,183091,0,183091,0,183091,0,183091,False,False,True,,183091
primary_location.source.id,183091,183091,0,183091,0,183091,0,183091,False,False,True,,183091
primary_location.source.is_in_doaj,183091,183091,0,183091,0,183091,0,183091,False,False,True,,183091
primary_location.source.is_oa,183091,183091,0,183091,0,183091,0,183091,False,False,True,,183091
ids.mag,144614,144614,0,144614,0,144614,0,144614,False,False,True,,144614
locations.source.host_organization_lineage,133760,133760,0,133760,0,133760,0,133760,False,False,True,,133760
locations.source.host_organization_lineage_names,133760,133760,0,133760,0,133760,0,133760,False,False,True,,133760
related_works,129661,129661,0,129661,0,129661,0,129661,False,False,True,,129661
fwci,78137,78137,0,78137,0,78137,0,78137,False,False,True,,78137
authorships.author.display_name,24558,24558,0,24558,0,24558,0,24558,False,False,True,,24558
authorships.author.id,24558,24558,0,24558,0,24558,0,24558,False,False,True,,24558
authorships.author.orcid,24558,24558,0,24558,0,24558,0,24558,False,False,True,,24558
authorships.author_position,24545,24545,0,24545,0,24545,0,24545,False,False,True,,24545
authorships.is_corresponding,24544,24544,0,24544,0,24544,0,24544,False,False,True,,24544
authorships.raw_author_name,24544,24544,0,24544,0,24544,0,24544,False,False,True,,24544
language,9305,9305,0,9305,0,9305,0,9305,False,False,True,,9305
citation_normalized_percentile.is_in_top_10_percent,5009,5009,0,5009,0,5009,0,5009,False,False,True,,5009
citation_normalized_percentile.is_in_top_1_percent,5009,5009,0,5009,0,5009,0,5009,False,False,True,,5009
citation_normalized_percentile.value,5009,5009,0,5009,0,5009,0,5009,False,False,True,,5009
locations.is_oa,4188,4188,0,4188,0,4188,0,4188,False,False,True,,4188
locations.source.is_core,4186,4186,0,4186,0,4186,0,4186,False,False,True,,4186
locations.source.is_in_doaj,4186,4186,0,4186,0,4186,0,4186,False,False,True,,4186
locations.source.is_indexed_in_scopus,4186,4186,0,4186,0,4186,0,4186,False,False,True,,4186
locations.source.is_oa,4186,4186,0,4186,0,4186,0,4186,False,False,True,,4186
locations.source.issn,4186,4186,0,4186,0,4186,0,4186,False,False,True,,4186
locations.pdf_url,4185,4185,0,4185,0,4185,0,4185,False,False,True,,4185
locations.is_accepted,4184,4184,0,4184,0,4184,0,4184,False,False,True,,4184
locations.landing_page_url,4184,4184,0,4184,0,4184,0,4184,False,False,True,,4184
locations.is_published,4183,4183,0,4183,0,4183,0,4183,False,False,True,,4183
locations.license,4183,4183,0,4183,0,4183,0,4183,False,False,True,,4183
